time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/clip_fraction,train/clip_range,train/std,train/entropy_loss,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance
1424000,712,37.91853959,119,11937,693.12,0.0001,0.15943334076243143,0.222,0.5538730025291443,-40.07005399068196,0.023604883,10665,-0.10638891905546188,-0.04333556691313862,0.06410292846461137,0.9440930783748627
1426000,713,38.43030256,119,11954,704.84,0.0001,0.14610000603909915,0.222,0.5530844926834106,-40.5595033009847,0.02440523,10680,-0.10082903504371643,-0.04107466400702068,0.07933490108310555,0.8972289264202118
1428000,714,38.59244796,119,11970,704.71,0.0001,0.1472333398880437,0.222,0.5532180666923523,-40.64205767313639,0.024571013,10695,-0.0948968380689621,-0.03784650417048893,0.17970801778137685,0.8807358071208
1430000,715,38.66069785,119,11988,708.18,0.0001,0.1052666710379223,0.222,0.5532651543617249,-39.624787425994874,0.019888833,10710,-0.10154209285974503,-0.03291817022602051,0.17257779669792703,0.8093440979719162
1432000,716,39.11759804,119,12004,717.85,0.0001,0.11493333858670667,0.222,0.5540162920951843,-41.31304098765055,0.02360902,10725,-0.08245769888162613,-0.03541909915829109,0.11365498929905395,0.8358500152826309
1434000,717,38.92359689999999,119,12020,713.79,0.0001,0.1578333402479378,0.222,0.5538312196731567,-39.33566640218099,0.026449185,10740,-0.1159125566482544,-0.04523983004317677,0.08499567822630828,0.8489528894424438
1436000,718,39.05323445,119,12037,715.76,0.0001,0.13853334031688672,0.222,0.5539552569389343,-40.50834992726644,0.02544691,10755,-0.10231040418148041,-0.038555975590548255,0.10495781688950956,0.9446729458868504
1438000,719,39.22221435,119,12054,722.13,0.0001,0.13476667229163772,0.222,0.5520623326301575,-39.572968355814616,0.021326993,10770,-0.10281229019165039,-0.03644345165917184,0.21096508615106965,0.8338282406330109
1440000,720,38.76489435,119,12070,710.96,0.0001,0.15726667325943708,0.222,0.5513576865196228,-40.63300889333089,0.023619272,10785,-0.10178855806589127,-0.039100200436811415,0.08109305558027699,0.9092786535620689
1442000,721,38.8921108,119,12087,715.74,0.0001,0.14193333950048934,0.222,0.5515367388725281,-39.92845732371013,0.027588084,10800,-0.09605412185192108,-0.038312299142022256,0.09516963711551701,0.9392589256167412
1444000,722,39.02617733,119,12104,714.47,0.0001,0.0969333368469961,0.222,0.5499323606491089,-39.64132986068726,0.015528539,10815,-0.08708003163337708,-0.028458510098897823,0.08614226689096541,0.9471102356910706
